"","old.ev","new.ev"
"1","  AVALANCE                      ","   AVALANCHE                     "
"2","   AVALANCHE                     ","   AVALANCHE                     "
"3","   BLACK ICE                     ","  FROST                         "
"4","   BLIZZARD                      ","   BLIZZARD                      "
"5","   blowing snow                  ","   BLIZZARD                      "
"6","   BLOWING SNOW                  ","   BLIZZARD                      "
"7","   BRUSH FIRE                    "," WILDFIRE                      "
"8","   COASTAL FLOOD                 ","   COASTAL FLOOD                 "
"9","   Coastal Flooding              ","   COASTAL FLOOD                 "
"10","  COASTAL FLOODING              ","   COASTAL FLOOD                 "
"11","  COASTAL FLOODINGEROSION      ","   COASTAL FLOOD                 "
"12","  Coastal Storm                 "," MARINE THUNDERSTORM WIND      "
"13","  COASTAL STORM                 "," MARINE THUNDERSTORM WIND      "
"14","  COASTALSTORM                  "," MARINE THUNDERSTORM WIND      "
"15","  Cold                          ","  COLDWIND CHILL               "
"16","  COLD                          ","  COLDWIND CHILL               "
"17","  COLD AND SNOW                 ","  COLDWIND CHILL               "
"18","  Cold Temperature              ","  COLDWIND CHILL               "
"19","  COLD WAVE                     ","  COLDWIND CHILL               "
"20","  COLD WEATHER                  ","  COLDWIND CHILL               "
"21","  COLDWIND CHILL               ","  COLDWIND CHILL               "
"22","  COLDWINDS                    ","  COLDWIND CHILL               "
"23","  DENSE FOG                     ","  DENSE FOG                     "
"24","  DROUGHT                       ","  DROUGHT                       "
"25","  DROUGHTEXCESSIVE HEAT        ","  EXCESSIVE HEAT                "
"26","  DROWNING                      ","  FLOOD                         "
"27","  DRY MICROBURST                "," THUNDERSTORMS WINDS           "
"28","  DRY MIRCOBURST WINDS          "," THUNDERSTORMS WINDS           "
"29","  Dust Devil                    "," TORNADO                       "
"30","  DUST DEVIL                    "," TORNADO                       "
"31","  DUST STORM                    "," STRONG WIND                   "
"32","  EXCESSIVE HEAT                ","  EXCESSIVE HEAT                "
"33","  EXCESSIVE RAINFALL            ","  HEAVY RAIN                    "
"34","  EXCESSIVE SNOW                ","  HEAVY SNOW                    "
